season,week,team,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_cpoe,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_fumbles,def_safeties,misc_yards,fumble_recovery_own,fumble_recovery_yards_own,fumble_recovery_opp,fumble_recovery_yards_opp,fumble_recovery_tds,penalties,penalty_yards,timeouts,punt_returns,punt_return_yards,kickoff_returns,kickoff_return_yards,fg_made,fg_att,fg_missed,fg_blocked,fg_long,fg_pct,fg_made_0_19,fg_made_20_29,fg_made_30_39,fg_made_40_49,fg_made_50_59,fg_made_60_,fg_missed_0_19,fg_missed_20_29,fg_missed_30_39,fg_missed_40_49,fg_missed_50_59,fg_missed_60_,fg_made_list,fg_missed_list,fg_blocked_list,fg_made_distance,fg_missed_distance,fg_blocked_distance,pat_made,pat_att,pat_missed,pat_blocked,pat_pct,gwfg_made,gwfg_att,gwfg_missed,gwfg_blocked,gwfg_distance
2019,1,MIN,REG,ATL,8,10,98,1,0,1,-1,1,0,51,42,4,8.41886515065562,17.1852575408088,0,38,172,3,38,0,11,-0.849612782709301,0,8,9,98,1,8,0,51,42,4,9.79594997037202,0,0,50,4,12,7,35,1,4,32,7,2,0,8,0,0,0,0,2,3,1,1,0,11,100,5,0,0,1,13,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0
2019,1,NE,REG,PIT,25,37,373,3,0,1,-7,0,0,280,174,15,18.9241948179074,0.164950941060038,0,29,99,0,0,0,9,-3.08934802096337,0,25,37,373,3,0,0,280,174,15,20.654441412102,0,0,31,10,14,0,0,1,1,0,3,1,0,9,0,0,0,0,0,0,0,0,0,7,55,3,2,35,2,35,4,4,0,0,41,1,0,1,2,1,0,0,0,0,0,0,0,0,25;41;35;39,,,140,0,0,3,3,0,0,1,0,0,0,0,0
2019,1,NO,REG,HOU,32,43,370,2,1,1,-8,1,0,295,134,19,13.2039218625049,11.0774933527677,0,21,148,1,21,0,6,2.45527942571038,0,32,39,370,2,32,0,295,134,19,16.7486788177459,0,0,41,0,12,6,29,0,6,34,12,1,0,2,0,0,0,0,1,1,0,0,0,7,48,6,3,20,2,36,3,4,1,0,58,0.75,0,0,1,1,1,0,0,0,0,0,1,0,32;47;58,56,,137,56,0,3,3,0,0,1,1,1,0,0,58
2019,1,NYG,REG,DAL,33,48,323,1,0,1,-4,1,1,314,161,16,2.02879788517247,2.92724967002869,0,17,151,1,17,1,8,6.3572509495425,0,33,44,323,1,33,0,314,161,16,11.7151817013532,0,0,40,0,18,2,6,0,0,0,2,0,0,3,0,0,0,0,1,1,0,0,0,8,70,6,2,7,2,46,1,1,0,0,28,1,0,1,0,0,0,0,0,0,0,0,0,0,28,,,28,0,0,2,2,0,0,1,0,0,0,0,0
2019,1,NYJ,REG,BUF,28,41,175,1,0,4,-20,4,0,223,104,12,-3.57028540506756,-1.92462482103487,1,21,68,0,21,0,4,-3.13006541086361,0,28,41,175,1,28,0,223,104,12,4.28305089062748,1,0,35,1,25,3,5,1,1,12,9,2,21,6,1,0,1,0,0,1,2,2,0,8,67,6,0,0,1,10,0,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,,45,,0,45,0,0,1,1,0,0,0,0,0,0,0
2019,1,PHI,REG,WAS,28,39,313,3,0,1,0,0,0,343,94,13,17.3898390172039,6.81747503769703,0,31,123,1,0,0,11,-2.00958058510139,1,28,39,313,3,0,0,343,94,13,17.6990787812032,0,0,37,1,11,3,19,0,1,10,8,0,0,6,0,0,0,0,0,0,0,0,0,6,55,3,4,46,0,0,1,1,0,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,22,,,22,0,0,3,3,0,0,1,0,0,0,0,0
2019,1,PIT,REG,NE,27,47,276,0,1,1,0,1,0,465,140,11,-8.18487056917839,-8.07663430558874,0,13,32,0,13,0,1,-5.39141632069368,0,27,47,276,0,27,0,465,140,11,-8.03821284483748,0,0,37,17,19,4,16,0,1,7,5,0,0,0,0,0,0,0,2,2,0,0,0,6,54,2,0,0,2,43,1,1,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,19,,,19,0,0,0,0,0,0,,0,0,0,0,0
2019,1,SEA,REG,CIN,14,20,195,2,0,4,-35,4,0,197,96,6,4.02602304017637,12.2026619158293,0,25,72,1,25,0,4,-6.72019329670002,0,14,19,195,2,14,1,197,96,6,5.49615298188292,0,0,41,5,21,4,19,4,5,23,4,0,0,6,0,0,0,0,0,0,3,3,0,8,55,4,0,0,1,21,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,3,3,0,0,1,0,0,0,0,0
2019,1,SF,REG,TB,18,27,166,1,1,1,-8,1,0,156,107,7,0.130202456110198,-3.15554406907823,1,32,98,0,32,0,7,-7.06555120815756,0,18,27,166,1,18,1,156,107,7,-0.707155095214915,1,0,41,3,15,4,20,2,3,20,6,3,57,9,2,0,0,0,0,0,1,1,0,11,87,3,0,0,0,0,3,4,1,0,47,0.75,0,1,1,1,0,0,0,0,0,0,1,0,29;36;47,57,,112,57,0,2,2,0,0,1,0,0,0,0,0
2019,1,TB,REG,SF,20,36,194,1,3,3,-20,3,0,315,90,10,-23.019776935342,-6.33511758025955,0,26,121,0,26,0,8,1.51934912556317,0,20,34,194,1,20,1,315,90,10,-19.1707871591789,0,0,39,3,15,3,11,0,1,8,1,1,15,2,1,0,0,0,2,3,1,1,0,8,87,2,1,0,3,60,1,1,0,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,31,,,31,0,0,2,2,0,0,1,0,0,0,0,0
2019,1,TEN,REG,CLE,14,24,248,3,0,4,-32,0,0,145,173,9,6.29200074955966,-7.21303932368755,0,28,123,1,0,0,7,-2.0242910849629,0,14,24,248,3,0,0,145,173,9,12.1893468661621,0,0,46,0,14,5,35,0,5,41,7,3,66,6,1,0,1,0,0,0,0,0,0,6,54,2,0,0,3,50,2,2,0,0,53,1,0,0,1,0,1,0,0,0,0,0,0,0,37;53,,,90,0,0,5,5,0,0,1,0,0,0,0,0
2019,1,WAS,REG,PHI,30,44,380,3,0,1,-10,0,0,324,186,15,21.7490923073532,3.69069437647975,0,13,28,0,0,0,1,-6.44129432784393,0,30,43,380,3,0,0,324,186,15,23.5691022510913,0,0,48,0,14,6,18,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,12,96,5,1,11,3,46,2,2,0,0,48,1,0,0,0,2,0,0,0,0,0,0,0,0,41;48,,,89,0,0,3,3,0,0,1,0,0,0,0,0
2019,2,ARI,REG,BAL,25,40,349,0,0,3,-20,3,0,312,162,12,10.3353428887514,4.409263303151,1,11,20,1,11,0,3,-4.49021062269458,0,25,37,349,0,25,0,312,162,12,16.6564828361193,1,0,45,6,22,7,25,1,2,14,2,0,0,5,0,0,0,0,1,2,0,0,0,8,70,6,1,0,4,59,3,3,0,0,22,1,0,3,0,0,0,0,0,0,0,0,0,0,22;21;21,,,64,0,0,0,0,0,0,,0,0,0,0,0
2019,2,ATL,REG,PHI,27,43,320,3,3,1,-10,1,0,399,164,15,1.73720726598805,-4.19687102007311,0,17,57,0,17,0,3,-2.58901969296858,0,27,43,320,3,27,0,399,164,15,3.82992889121925,0,0,49,3,15,6,23,1,3,18,10,2,10,6,0,0,0,0,1,1,1,1,0,10,58,5,3,12,0,0,1,2,1,0,50,0.5,0,0,0,0,1,0,0,0,0,0,1,0,50,50,,50,50,0,3,3,0,0,1,0,0,0,0,0
2019,2,BAL,REG,ARI,24,37,272,2,0,2,-14,2,0,396,83,16,8.93264992868931,2.07652790205819,0,33,182,0,33,0,10,-2.18790990125854,0,24,35,272,2,24,0,396,83,16,12.7508847514021,0,0,34,2,12,6,29,0,3,20,8,0,0,2,0,0,0,0,2,3,0,0,0,10,62,3,3,45,2,46,3,3,0,0,51,1,0,1,1,0,1,0,0,0,0,0,0,0,33;28;51,,,112,0,0,2,2,0,0,1,0,0,0,0,0
2019,2,BUF,REG,NYG,19,30,253,1,0,3,-16,0,0,269,89,13,6.323321487871,1.44328198262623,0,34,151,3,0,0,9,4.56495437081321,0,19,28,253,1,0,0,269,89,13,14.6208177378285,0,0,38,5,21,2,11,1,1,9,3,2,0,9,0,0,0,0,0,0,0,0,0,9,65,2,2,6,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,4,4,0,0,1,0,0,0,0,0
2019,2,CAR,REG,TB,25,51,333,0,0,3,-20,3,0,555,90,16,-4.10572229950049,-10.6006414914618,0,19,39,0,19,1,3,-13.0756553677614,0,25,49,333,0,25,0,555,90,16,1.86961703279284,0,0,31,2,34,5,20,0,3,19,9,0,0,1,0,2,1,0,2,2,0,0,0,5,50,6,4,39,1,21,4,4,0,0,54,1,0,0,2,0,2,0,0,0,0,0,0,0,32;37;54;51,,,174,0,0,0,0,0,0,,0,0,0,0,0
2019,2,CHI,REG,DEN,16,27,120,0,0,0,0,0,0,212,71,7,-0.122646622664183,-10.1610986170945,0,29,153,1,0,0,7,1.34154373800921,0,16,27,120,0,0,0,212,71,7,-0.122646622664183,0,0,53,0,20,3,13,0,2,10,6,1,8,6,0,0,0,0,0,0,0,0,0,7,65,6,1,7,0,0,3,3,0,0,53,1,0,0,0,1,2,0,0,0,0,0,0,0,40;52;53,,,145,0,0,1,1,0,0,1,1,1,0,0,53
2019,2,CIN,REG,SF,26,42,311,2,1,4,-20,4,0,315,190,11,5.91409715588645,-4.14349216790426,0,19,25,0,19,0,4,-7.74151986597435,0,26,42,311,2,26,0,315,190,11,11.2215739611767,0,0,39,0,34,1,6,0,0,0,2,1,19,2,0,0,0,0,1,2,0,0,0,7,60,1,0,0,5,114,1,2,1,0,37,0.5,0,0,1,0,0,0,0,0,0,0,1,0,37,52,,37,52,0,2,2,0,0,1,0,0,0,0,0
2019,2,CLE,REG,NYJ,19,35,325,1,1,3,-20,0,0,344,167,10,2.11298482008211,-5.06309922784567,0,21,70,1,0,0,3,-4.15341469296254,0,19,32,325,1,0,0,344,167,10,9.65215547502376,0,0,39,2,30,5,33,1,4,32,7,0,0,1,0,0,0,0,0,0,1,1,0,9,85,4,4,48,1,23,3,3,0,0,48,1,0,1,0,2,0,0,0,0,0,0,0,0,23;48;43,,,114,0,0,2,2,0,0,1,0,0,0,0,0
2019,2,DAL,REG,WAS,26,30,269,3,1,1,-8,0,0,257,95,12,12.4214931601892,18.4025470415751,0,34,213,1,0,0,11,6.16017143480713,0,26,30,269,3,0,0,257,95,12,14.6455368524185,0,0,35,2,14,2,17,0,1,13,3,0,0,3,0,0,0,0,0,0,0,0,0,8,67,2,2,4,1,11,1,1,0,0,25,1,0,1,0,0,0,0,0,0,0,0,0,0,25,,,25,0,0,4,4,0,0,1,0,0,0,0,0
2019,2,DEN,REG,CHI,35,50,292,1,1,2,-10,0,0,251,132,19,8.05582137383905,-0.37909322977066,1,24,90,0,0,0,7,-4.63063561200397,0,35,50,292,1,0,0,251,132,19,10.5043777956293,1,0,38,0,14,3,11,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,10,81,4,4,35,0,0,2,2,0,0,43,1,0,0,1,1,0,0,0,0,0,0,0,0,43;32,,,75,0,0,0,0,0,0,,0,0,0,0,0
